"C-mod name","Biomolecular Type","Condensates","Phenotypic Class","PMID"
"#129","small molecule","DEE660B4","dissolver","39710983"
"17AGG","small molecule","DEE660B4","dissolver","40114316"
"17‐Allylamino‐17‐demethoxygeldanamycin","small molecule","232F8A39| 804901D1| DEE660B4","dissolver| localizer| inducer","33738926"
"2-[2-(3-chlorophenyl)hydrazinylidene]-propanedinitrile","small molecule","550E224B","inducer","35975718"
"2-arachidonoylglycerol","natural product","232F8A39","inducer","38876400"
"2-aryl-4-aminothiazole","small molecule","804901D1","dissolver","37587144"
"3,4,5,4′-tetramethoxystilbene","small molecule","DEE660B4","inducer","34432484"
"3a","small molecule","38D1B6BE","dissolver","37834006"
"4-Hydroxynonenal","small molecule","DEE660B4","inducer","25998392"
"5","small molecule","DEE660B4","dissolver","39294374"
"5-diphospho-inositol-1,2,3,4,6-pentakisphosphate","small molecule","91857CE7","inducer","36671538"
"5-fluorouracil","small molecule","6F24707C","dissolver|morpher","35151311"
"6-thioguanine","small molecule","DEE660B4","inducer","33762409"
"6-thioguanosine","small molecule","DEE660B4","inducer","33762409"
"8-Hydroxyquinoline","small molecule","DEE660B4","dissolver","31272829"
"A2","small molecule","BEB5E62D","dissolver","37937963"
"A5","small molecule","BEB5E62D","dissolver","37937963"
"a-amanitin","peptide","91857CE7| DEE660B4","localizer| dissolver","34380923| 38366783"
"ACI-6677","monoclonal antibody","ED4B3785","dissolver","39363348"
"Actinomycin D","small molecule","DEE660B4","dissolver","38366783| 34244458"
"ADOX","small molecule","81D2A7B6","inducer","39052476"
"Afatinib","small molecule","DEE660B4","inducer","38014036"
"AHL-030","small molecule","232F8A39| DEE660B4","dissolver| inducer","37159397"
"AMI-1","small molecule","D8E9712B","dissolver","39052476"
"Aminocyclopropenone 1n","small molecule","38EC0B30","dissolver","35159127"
"Anisomycin","small molecule","DEE660B4","dissolver","31272829| 38105199"
"Antimycin A","small molecule","550E224B","inducer","35975718"
"Apatinib","small molecule","6F24707C","dissolver|morpher","35151311"
"Apigenin","small molecule","DEE660B4","inducer","38375951"
"Artemisinin","small molecule","6F24707C","dissolver","35151311"
"AS-605240","small molecule","1A18FFC4","dissolver","36099417"
"Auranofin","small molecule","DEE660B4","inducer","38014036"
"Avrainvillamide","small molecule","91857CE7","localizer","27906185"
"AZD2858","small molecule","C4912696","dissolver","41117221"
"AZD8055","small molecule","DEE660B4","dissolver","30923191"
"Baicalein","small molecule","904EB3AA","dissolver","41075517"
"b-AP15","small molecule","DEE660B4","inducer","33687997"
"Benzethonium","small molecule","DEE660B4","dissolver","31272829"
"Berberine chloride","small molecule","DEE660B4","localizer","36606141"
"BI1071","small molecule","927B5294","inducer","38486987"
"BIBW2992","small molecule","DEE660B4","unknown","35433677"
"bis-ANS","small molecule","DEE660B4","morpher","33149109"
"BiTud","peptide","DEE660B4","dissolver","38126399"
"Bleomycin","small molecule","A0DCDA94","inducer","34306316"
"BMH-21","small molecule","A0DCDA94","dissolver","37582658"
"BMH21","small molecule","91857CE7","localizer","24952786"
"Bortezomib","small molecule","DEE660B4","inducer","33687997"
"C1","small molecule","03D56D03","dissolver","34008959"
"C16","small molecule","DEE660B4","dissolver","36651745"
"Cadmium(II)","small molecule","B5B9A610","localizer","40243484"
"Calicheamicin","small molecule","DEE660B4","inducer","33857636"
"Carbon monoxide-releasing molecular-A1","small molecule","A0DCDA94| DEE660B4","dissolver| inducer","34306316"
"CAY10626","small molecule","1A18FFC4","dissolver","36099417"
"CB-5083","small molecule","DEE660B4","inducer","33687997"
"cb-N-Apt17","oligonucleotide","38D1B6BE","dissolver","38376366"
"CDK2 inhibitor IV","small molecule","DEE660B4","morpher","23415227"
"CDK4 inhibitor III","small molecule","DEE660B4","morpher","23415227"
"Cephaeline","small molecule","DEE660B4","dissolver","38105199"
"Ceritinib","small molecule","DEE660B4","inducer","38731625"
"CGX-635","small molecule","91857CE7","inducer","38745030"
"Chromium(III)","small molecule","B5B9A610","localizer","40243484"
"Cisplatin","small molecule","232F8A39| 38EC0B30| 6F24707C| 91857CE7| DEE660B4","dissolver| dissolver|morpher| inducer","40247038| 32554597| 35151311| 39862843| 40114316| 39575153"
"Cl-GQDs-OH","other","DEE660B4","dissolver","38582774"
"CMP76","small molecule","DEE660B4","localizer","40943063"
"Cobalt(II)","small molecule","B5B9A610","localizer","40243484"
"CrACP1","peptide","7A2955EF","morpher","38483823"
"Curcumin","small molecule","C22D95C0","dissolver","37158592"
"CX-5461","small molecule","91857CE7","morpher","35978024"
"Cycloheximide","small molecule","232F8A39| DEE660B4","dissolver| inducer","40247038| 35935992| 38105199"
"Cysteine Au nanospheres","other","DEE660B4","inducer","39862843"
"Daporinad","small molecule","A0DCDA94","inducer","36849518"
"Dasatinib","small molecule","1A18FFC4","dissolver","36099417"
"Daunorubicin","small molecule","DEE660B4","dissolver","31272829"
"D-cysteine Au nanospheres","other","DEE660B4","inducer","39862843"
"DHD","small molecule","DEE660B4","dissolver","40306108"
"D-histidine Au nanospheres","other","DEE660B4","inducer","39862843"
"Diclofenac","small molecule","6A1B29D1","localizer","37660155"
"Digitoxin","small molecule","DEE660B4","dissolver","31272829"
"Dihydrocapsaicin","natural product","DEE660B4","inducer","34953209"
"DNL343","small molecule","DEE660B4","dissolver","38511649"
"Doxorubicin","small molecule","A0DCDA94| B57B8AD8| DEE660B4| 1AE015A9","inducer| dissolver","34504951| 37689690| 31272829| 37379838| 40899520"
"D-penicillamine Au nanospheres","other","DEE660B4","inducer| dissolver","39862843"
"Efavirenz","small molecule","DEE660B4","dissolver","34857678"
"Emetine","small molecule","DEE660B4","dissolver","38105199"
"EN450","small molecule","DEE660B4","inducer","38014036"
"Erlotinib","small molecule","DEE660B4","unknown","35433677"
"Etoposide","small molecule","91857CE7","localizer","38224452"
"Everolimus","small molecule","DEE660B4","dissolver","30923191"
"EX527","small molecule","02F8D883","dissolver","35879450"
"F10 DARPin","protein","DEE660B4","dissolver","35476995"
"FLU","small molecule","DEE660B4","dissolver","40306108"
"Fluspirilene","small molecule","DEE660B4","localizer","39708056"
"G3BP1 190-208 CPP","peptide","DEE660B4","dissolver","40014573"
"G3Ia","small molecule","DEE660B4","dissolver","38284934"
"G3Ib","small molecule","DEE660B4","dissolver","38284934"
"(-)-Gallocatechin gallate","natural product","38D1B6BE","dissolver","33837182"
"(− )-Gallocatechin gallate","natural compound","38D1B6BE","dissolver","40086356"
"Gefitinib","small molecule","98C8800A| DEE660B4","inducer| unknown","37847732| 35433677"
"Geldanamycin","small molecule","232F8A39| 804901D1| DEE660B4","dissolver| localizer| inducer","33738926| 38731625| 39040524"
"Gold nanoparticle–DNA","dna","DEE660B4","inducer","40944981"
"GQDs-Cl","other","DEE660B4","dissolver","38582774"
"Graphene Quantum Dots","small molecule","DEE660B4","dissolver","39901566"
"GSK","small molecule","DEE660B4","dissolver","40306108"
"GSK1059615","small molecule","1A18FFC4","dissolver","36099417"
"GSK2606414","small molecule","DEE660B4","dissolver","35935992"
"GSK-626616","small molecule","DEE660B4","inducer","29973724"
"GSK626616","small molecule","804901D1| DEE660B4","localizer| inducer| morpher","33738926| 23415227"
"GSK690693","small molecule","232F8A39","inducer","33586867"
"GSK8612","small molecule","DEE660B4","dissolver","40114316"
"GSK-J4","small molecule","38EC0B30","dissolver","38976739"
"Harmine","natural product","6F24707C| DEE660B4","dissolver| morpher","39258320| 23415227"
"Harringtonine","small molecule","DEE660B4","dissolver","38105199"
"HHS-166","small molecule","DEE660B4","dissolver","37159397"
"Histidine Au nanospheres","other","DEE660B4","inducer","39862843"
"HMS3229I17","small molecule","DEE660B4","morpher","23415227"
"Hydrogen sulfide","small molecule","DEE660B4","inducer","40202609"
"Ibrutinib","small molecule","DEE660B4","inducer","38014036"
"Icaritin","small molecule","DEE660B4","dissolver","38368261"
"IGS2.7","small molecule","DEE660B4","dissolver","38325718"
"Imatinib","small molecule","DEE660B4","dissolver","31735741"
"INK128","small molecule","1A18FFC4","dissolver","36099417"
"Integrated Stress Response Inhibitor","small molecule","DEE660B4","dissolver| inducer","40281543| 40887259"
"ION363","oligonucleotide","C22D95C0","dissolver","35075293"
"Isoginkgetin","small molecule","DEE660B4","dissolver","38366783"
"ISRIB","small molecule","DEE660B4","dissolver","25719440"
"JAK3 inhibitor IV","small molecule","DEE660B4","morpher","23415227"
"JC19","small molecule","DEE660B4","inducer","38014036"
"JQ1","small molecule","38EC0B30","dissolver","32554597"
"KB2","fragment","DEE660B4","inducer","38014036"
"KB20","fragment","DEE660B4","inducer","38014036"
"KB23","fragment","DEE660B4","inducer","38014036"
"KB5","fragment","DEE660B4","inducer","38014036"
"KB7","fragment","DEE660B4","inducer","38014036"
"Lactimidomycin","small molecule","DEE660B4","dissolver","38105199"
"Lapatinib","small molecule","DEE660B4","inducer","32365111"
"L-cysteine Au nanospheres","other","DEE660B4","inducer","39862843"
"LFM-A13","small molecule","DEE660B4","dissolver","35798143"
"Licochalcone B","small molecule","DEE660B4","dissolver|morpher","40930288"
"Lobeline","small molecule","DEE660B4","inducer","41053069"
"Lopinavir","small molecule","BE404912","inducer","38433354"
"Lorecivivint","small molecule","804901D1","inducer","31132406"
"L-penicillamine Au nanospheres","other","DEE660B4","inducer","39862843"
"Lurbinectedin","small molecule","91857CE7","localizer","27697767| 35657345"
"LY3023414","small molecule","1A18FFC4","dissolver","36099417"
"MG132","small molecule","DEE660B4","inducer","27570075"
"MI-2","small molecule","DEE660B4","localizer","36606141"
"MI-3","small molecule","DEE660B4","localizer","36606141"
"Mitoxantrone","small molecule","DEE660B4","dissolver","31272829| 40284406"
"MK.2206","small molecule","DEE660B4","unknown","35433677"
"Morusin","natural product","DEE660B4","inducer","32731602"
"MS023","small molecule","81D2A7B6| DEE660B4","inducer","39052476| 34029587"
"Myricetin","natural product","DEE660B4","dissolver","34560101"
"NAL","small molecule","DEE660B4","dissolver","40306108"
"NB001","small molecule","DEE660B4","inducer","38014036"
"NMS-873","small molecule","DEE660B4","inducer","33687997"
"Nobiletin","natural product","DEE660B4","dissolver","35631419"
"Nocodazole","small molecule","886620B0","dissolver","28680096"
"NU7441 + CLM","other","DEE660B4","localizer","33857636"
"Nusinersen","oligonucleotide","6F24707C","inducer","32612161"
"Olaparib","small molecule","A0DCDA94","inducer","36849518| 29992957"
"Oligomycin A","small molecule","550E224B","inducer","35975718"
"Oxaliplatin","small molecule","91857CE7","localizer","31670961| 36351392"
"Paclitaxel","small molecule","DEE660B4","inducer","34857678"
"Pactamycin","small molecule","DEE660B4","dissolver","38105199"
"Palbociclib","small molecule","DEE660B4","unknown","35433677"
"PARP14i","small molecule","DEE660B4","dissolver","39760726"
"Pateamine A","natural product","DEE660B4","inducer","29258238"
"PCG","natural product","38EC0B30","inducer","35072011"
"PD184352","small molecule","232F8A39","dissolver","37370689"
"Penfluridol","small molecule","DEE660B4","dissolver","31272829"
"Penicillamine Au nanospheres","other","DEE660B4","inducer","39862843"
"perillaldehyde","natural product","DEE660B4","inducer","39951026"
"Phillygenin","natural product","DEE660B4","inducer","35421804"
"PI-103","small molecule","1A18FFC4","dissolver","36099417"
"Piceatannol","small molecule","DEE660B4","inducer","34432484"
"PIK-75","small molecule","1A18FFC4","dissolver","36099417"
"PIM447","small molecule","232F8A39","inducer","33586867"
"PJ34","small molecule","DEE660B4","localizer","29070863"
"PKI-402","small molecule","DEE660B4","inducer","38238825"
"PLB","small molecule","DEE660B4","dissolver","38366783"
"Polydeoxyribonucleotide","oligonucleotide","DEE660B4","dissolver","40343916"
"Polyhalogenated carbazoles","small molecule","B4E97D43","inducer","41064882"
"PP242","small molecule","1A18FFC4","dissolver","36099417"
"PR-619","small molecule","DEE660B4","inducer","33687997"
"PROTAC (Proteolysis Targeting Chimera) degrader 129","small molecule","DEE660B4","dissolver","39710983"
"Pterostilbene","small molecule","DEE660B4","inducer","34432484"
"Pyridoxal hydrochloride","small molecule","DEE660B4","dissolver","40216204"
"Pyrvinium","small molecule","232F8A39| DEE660B4","dissolver| inducer","40247038| 31272829"
"Pyrvinium pamoate","small molecule","804901D1","morpher","38659924"
"Quercetin","natural product","DEE660B4","dissolver","40031974"
"Raloxifene","small molecule","DEE660B4","inducer","33203845"
"Raltitrexed","small molecule","6F24707C","dissolver|morpher","35151311"
"Rapamycin","natural product","718A9EC3| DEE660B4","dissolver| unknown","39536963| 35433677"
"RBN012579","small molecule","DEE660B4","dissolver","37873085"
"Resveratrol","small molecule","DEE660B4| D12E4DB9","inducer| dissolver","34432484| 41037255"
"RK-33","small molecule","DEE660B4","unknown","40863725"
"RK33","small molecule","DEE660B4","dissolver","33049245"
"(R)-lipoic acid","small molecule","DEE660B4","dissolver","37322067"
"Salicylic acid","small molecule","9A8A194B","dissolver","40913711"
"SB2","small molecule","DEE660B4","dissolver","40306108"
"Selinexor","small molecule","91857CE7| 1A18FFC4","localizer| dissolver","30205049| 41115290"
"Sennoside A","natural product","38D1B6BE","dissolver","40371698"
"Sennoside B","natural product","38D1B6BE","dissolver","40371698"
"Sevoflurane","small molecule","DEE660B4","inducer","39610020"
"SI-2","small molecule","FA66C19F","dissolver","33589584"
"Silvestrol","natural product","DEE660B4","inducer","29258238"
"SIP-U1-Antp","peptide","DEE660B4","dissolver","38731625"
"SO286","small molecule","6ECDA717","dissolver","41087580"
"Sodium azide","small molecule","550E224B","inducer","35975718"
"Sorafenib","small molecule","DEE660B4","inducer","40064891| 37216166"
"Spautin-1","small molecule","DEE660B4","localizer","36606141"
"Sulforaphane","natural product","38EC0B30","inducer","30338040"
"T-2 toxin","small molecule","DEE660B4","dissolver","38105199"
"TAK-243","small molecule","DEE660B4","inducer","33687997"
"Talazoparib","small molecule","A0DCDA94","inducer","36849518| 29992957"
"Tamoxifen","small molecule","38EC0B30","dissolver","32554597"
"TAT-SIP-C1","peptide","DEE660B4","dissolver","38731625"
"TAT-SIP-C2","peptide","DEE660B4","dissolver","38731625"
"TC12","small molecule","DEE660B4","inducer","38262290"
"TC39","small molecule","DEE660B4","inducer","38262290"
"TC6","small molecule","DEE660B4","inducer","38262290"
"TD-interfering peptide","peptide","200B29C3","dissolver","40875402"
"Temsirolimus","small molecule","DEE660B4","unknown","35433677"
"Thapsigargin","natural product","DEE660B4","inducer","40064891"
"Titanium dioxide nanoparticles","natural product","DEE660B4","dissolver","39709656"
"Topotecan","small molecule","91857CE7","localizer","11709553"
"Torin 1","small molecule","1A18FFC4","dissolver","36099417"
"Torin-1","small molecule","232F8A39","dissolver","36634147"
"Trabectedin","small molecule","91857CE7","localizer","27697767"
"Trametinib","small molecule","232F8A39","dissolver","37370689"
"Trichostatin A","small molecule","DEE660B4","dissolver","34345843"
"Triptolide","natural product","DEE660B4","dissolver","38366783| 34244458"
"Tubastatin","small molecule","DEE660B4","dissolver","34345843"
"Tubercidin","small molecule","804901D1","inducer","40121465"
"UNC6934","small molecule","91857CE7","localizer","34782742"
"Veliparib","small molecule","A0DCDA94","inducer","36849518| 29992957"
"VER‐155008","small molecule","DEE660B4","inducer","33738926"
"Verdinexor","small molecule","BEB5E62D","dissolver","37937963"
"Vinblastine","small molecule","DEE660B4","dissolver","31272829"
"Vincristine","small molecule","DEE660B4","inducer","40064891"
"Vitamin C","small molecule","6F24707C","inducer","38583183"
"Vitamin K3","small molecule","6A1B29D1","localizer","37660155"
"Wee1/Chk1 inhibitor","small molecule","DEE660B4","morpher","23415227"
"WIN","small molecule","DEE660B4","dissolver","40306108"
"WIN-62577","small molecule","DEE660B4","localizer","39708056"
"Withaferin A","small molecule","BEB5E62D","dissolver","37937963"
"WNK-643","small molecule","BEB5E62D","inducer","37937963"
"Wortmannin","small molecule","DEE660B4","dissolver","30923191"
"XL-3156","small molecule","1A0B17A6","dissolver|morpher","40461475"
"XL-3158","small molecule","1A0B17A6","dissolver|morpher","40461475"
"XS561","small molecule","927B5294","inducer","38486987"
"ZXH-3-26","small molecule","634C353E","dissolver","37156794"
"ZZW-115","small molecule","DEE660B4","dissolver","38360999"